util,util,java.util.Arrays,Utility,Data Conversion
security,security,java.security.MessageDigest,Security,Data Integrity
security,security,java.security.KeyFactory,Security,Encryption
security,security,java.security.PublicKey,Security,Encryption
security,security,java.security.Security,Security,Encryption
security,security,java.security.Signature,Security,Authentication
security,spec,java.security.spec.X509EncodedKeySpec,Security,Encryption
json,json,org.json.JSONObject,Utility,Data Conversion
bouncycastle,jce,org.bouncycastle.jce.provider.BouncyCastleProvider,Security,Encryption
commons,codec,org.apache.commons.codec.binary.Hex,Utility,Data Conversion
auth,auth,com.amazonaws.auth.AWSCredentials,Cloud,Cloud Security
auth,auth,com.amazonaws.auth.AWSCredentialsProvider,Cloud,Cloud Security
auth,auth,com.amazonaws.auth.AWSStaticCredentialsProvider,Cloud,Cloud Security
auth,auth,com.amazonaws.auth.BasicAWSCredentials,Cloud,Cloud Security
client,builder,com.amazonaws.client.builder.AwsClientBuilder,Cloud,Service Configuration
services,comprehendmedical,com.amazonaws.services.comprehendmedical.AWSComprehendMedical,Natural Language Processing,Text Analysis
services,comprehendmedical,com.amazonaws.services.comprehendmedical.AWSComprehendMedicalClient,Natural Language Processing,Text Analysis
services,comprehendmedical,com.amazonaws.services.comprehendmedical.model.DetectEntitiesRequest,Natural Language Processing,Text Analysis
services,comprehendmedical,com.amazonaws.services.comprehendmedical.model.DetectEntitiesResult,Natural Language Processing,Text Analysis
services,polly,com.amazonaws.services.polly.AmazonPolly,Natural Language Processing,Speech Recognition
services,polly,com.amazonaws.services.polly.AmazonPollyClientBuilder,Cloud,Service Configuration
services,polly,com.amazonaws.services.polly.model.DescribeVoicesRequest,Natural Language Processing,Speech Recognition
services,polly,com.amazonaws.services.polly.model.DescribeVoicesResult,Natural Language Processing,Speech Recognition
undefined,undefined,com.amazonaws.AmazonClientException,Error Handling,Exception Handling
example,bedrockruntime,com.example.bedrockruntime.models.anthropicClaude.lib.ReasoningResponse,Natural Language Processing,Language Generation
auth,profile,com.amazonaws.auth.profile.ProfileCredentialsProvider,Cloud,Service Configuration
services,elasticmapreduce,com.amazonaws.services.elasticmapreduce.AmazonElasticMapReduce,Big Data,Batch Processing
services,elasticmapreduce,com.amazonaws.services.elasticmapreduce.AmazonElasticMapReduceClientBuilder,Big Data,Batch Processing
services,elasticmapreduce,com.amazonaws.services.elasticmapreduce.util.StepFactory,Big Data,Batch Processing
junit,jupiter,org.junit.jupiter.params.ParameterizedTest,Test,Unit Testing
junit,jupiter,org.junit.jupiter.params.provider.MethodSource,Test,Unit Testing
util,function,java.util.function.Supplier,Utility,System Tools
util,stream,java.util.stream.Stream,Utility,Data Conversion
software,amazon,software.amazon.awssdk.services.elasticbeanstalk.model.ConfigurationOptionSetting,Cloud,Service Configuration
software,amazon,software.amazon.awssdk.services.elasticbeanstalk.model.CreateEnvironmentRequest,Cloud,Service Configuration
software,amazon,software.amazon.awssdk.services.elasticbeanstalk.model.CreateEnvironmentResponse,Cloud,Service Configuration
software,amazon,software.amazon.awssdk.services.pinpoint.model.WriteCampaignRequest,Cloud,Resource Management
util,util,java.util.HashMap,Data Structure,Data Manipulation
util,util,java.util.Map,Data Structure,Data Manipulation
software,amazon,software.amazon.awssdk.services.pinpoint.model.CreateCampaignResponse,Cloud,Resource Management
software,amazon,software.amazon.awssdk.services.pinpoint.model.CreateCampaignRequest,Cloud,Resource Management
software,amazon,software.amazon.awssdk.services.sns.model.SetSmsAttributesRequest,Cloud,Service Configuration
example,bedrockruntime,com.example.bedrockruntime.models.amazonTitanText.TextScenarios.invokeWithConversation,Natural Language Processing,Chatbot Interfaces
example,bedrockruntime,com.example.bedrockruntime.models.amazonTitanText.TextScenarios.invokeWithSystemPrompt,Natural Language Processing,Language Generation
software,amazon,software.amazon.awssdk.services.sns.model.SetSmsAttributesResponse,Cloud,Service Configuration
example,bedrockruntime,com.example.bedrockruntime.scenario.BedrockActions,Utility,Automation Scripts
example,bedrockruntime,com.example.bedrockruntime.scenario.WeatherTool,Geographic Information System,Environmental Modeling
software,amazon,software.amazon.awssdk.services.pinpoint.model.CreateEmailTemplateRequest,Cloud,Service Configuration
software,amazon,software.amazon.awssdk.services.bedrockruntime.model.ContentBlock,Cloud,Resource Management
software,amazon,software.amazon.awssdk.services.bedrockruntime.model.ConversationRole,Machine Learning,Prediction
software,amazon,software.amazon.awssdk.services.bedrockruntime.model.ConverseResponse,Machine Learning,Prediction
software,amazon,software.amazon.awssdk.services.bedrockruntime.model.Message,Cloud,Service Configuration
software,amazon,software.amazon.awssdk.services.pinpoint.model.CreateEmailTemplateResponse,Cloud,Resource Management
util,util,java.util.ArrayList,Data Structure,Linear Structures
util,util,java.util.List,Data Structure,Linear Structures
software,amazon,software.amazon.awssdk.services.pinpoint.model.EmailTemplateRequest,Cloud,Service Configuration
services,lambda,com.amazonaws.services.lambda.runtime.Context,Cloud,Service Configuration
services,lambda,com.amazonaws.services.lambda.runtime.RequestHandler,Cloud,Service Configuration
services,lambda,com.amazonaws.services.lambda.runtime.LambdaLogger,Logging,Error Logs
services,kinesisanalytics,com.amazonaws.services.kinesisanalytics.flink.connectors.config.ProducerConfigConstants,Big Data,Real-Time Processing
