r,r,r.fileformat,Utility,Data Conversion
r,r,r.util,Utility,Data Conversion
r,fetcher,r.fetcher.citation.semanticscholar,Search,Query Processing
r,r,r.fetcher,Utility,Data Conversion
r,fetcher,r.fetcher.citation,Utility,Data Conversion
r,fileformat,r.fileformat.pdf,Input-Output,Data Reading
r,fetcher,r.fetcher.isbntobibtex,Utility,Data Conversion
r,fetcher,r.fetcher.transformers,Utility,Data Conversion
r,r,r.plaincitation,Utility,Data Conversion
io,io,java.io.File,Input-Output,File Management
io,io,java.io.IOException,Input-Output,Network IO
net,net,java.net.Authenticator,Network,Network Security
nio,file,java.nio.file.Files,Input-Output,"Data Reading, Data Writing, File Management"
nio,file,java.nio.file.Path,Input-Output,File Management
util,util,java.util.Arrays,Utility,Data Conversion
util,util,java.util.List,Data Structure,Linear Structures
util,util,java.util.Map,Data Structure,Data Manipulation
cli,cli,org.jabref.cli.ArgumentProcessor,Utility,System Tools
gui,gui,org.jabref.gui.JabRefGUI,User Interface,Interaction Design
gui,preferences,org.jabref.gui.preferences.GuiPreferences,User Interface,Interaction Design
gui,preferences,org.jabref.gui.preferences.JabRefGuiPreferences,User Interface,Interaction Design
logic,logic,org.jabref.logic.UiCommand,User Interface,Interaction Design
logic,citationstyle,org.jabref.logic.citationstyle.CSLStyleLoader,Utility,Data Conversion
logic,net,org.jabref.logic.net.ProxyAuthenticator,Network,Network Security
logic,net,org.jabref.logic.net.ProxyPreferences,Network,Connection Management
logic,net,org.jabref.logic.net.ProxyRegisterer,Network,Connection Management
logic,net,org.jabref.logic.net.ssl.SSLPreferences,Security,Encryption
logic,net,org.jabref.logic.net.ssl.TrustStoreManager,Security,Encryption
logic,preferences,org.jabref.logic.preferences.CliPreferences,Utility,System Tools
logic,remote,org.jabref.logic.remote.RemotePreferences,Logic,Rule Processing
logic,remote,org.jabref.logic.remote.client.RemoteClient,Network,Connection Management
logic,search,org.jabref.logic.search.PostgreServer,Search,Query Processing
logic,util,org.jabref.logic.util.BuildInfo,Utility,System Tools
logic,util,org.jabref.logic.util.Directories,Utility,System Tools
migrations,migrations,org.jabref.migrations.PreferencesMigrations,Utility,Data Conversion
airhacks,afterburner,com.airhacks.afterburner.injection.Injector,Microservices/Services,Service Communication
slf4j,slf4j,org.slf4j.Logger,Logging,Event Logging
slf4j,slf4j,org.slf4j.LoggerFactory,Logging,Event Logging
slf4j,bridge,org.slf4j.bridge.SLF4JBridgeHandler,Logging,Error Logs
tinylog,configuration,org.tinylog.configuration.Configuration,Logging,Event Logging
dev,langchain4j,dev.langchain4j.data.document.DefaultDocument,Natural Language Processing,Language Generation
io,io,java.io.Reader,Input-Output,Data Reading
util,util,java.util.ArrayList,Data Structure,Linear Structures
mockito,ArgumentMatchers,org.mockito.ArgumentMatchers.anyInt,Test,Unit Testing
mockito,Mockito,org.mockito.Mockito.doAnswer,Test,Unit Testing
util,util,java.util.Properties,Utility,System Tools
util,stream,java.util.stream.Collectors,Utility,Data Conversion
util,stream,java.util.stream.Stream,Utility,Data Conversion
junit,jupiter,org.junit.jupiter.api.Test,Test,Unit Testing
junit,jupiter,org.junit.jupiter.api.Assertions.assertEquals,Test,Unit Testing
junit,jupiter,org.junit.jupiter.api.Assertions.assertFalse,Test,Unit Testing
junit,jupiter,org.junit.jupiter.api.Assertions.assertTrue,Test,Unit Testing
util,util,java.util.Set,Data Structure,Tree Structures
javafx,util,javafx.util.Pair,Utility,Data Conversion
logic,cleanup,org.jabref.logic.cleanup.RelativePathsCleanup,Utility,Data Conversion
logic,importer,org.jabref.logic.importer.SearchBasedFetcher,Search,Query Processing
logic,importer,org.jabref.logic.importer.WebFetcher,Logic,Rule Processing
logic,importer,org.jabref.logic.importer.WebFetchers,Logic,Rule Processing
logic,journals,org.jabref.logic.journals.JournalAbbreviationLoader,Logic,Rule Processing
logic,journals,org.jabref.logic.journals.JournalAbbreviationRepository,Logic,Rule Processing
logic,l10n,org.jabref.logic.l10n.Localization,Internationalization,Localization
logic,openoffice,org.jabref.logic.openoffice.frontend.UpdateBibliography,Logic,Rule Processing
javafx,scene,javafx.scene.chart.LineChart,User Interface,Layout Design
logic,ai,org.jabref.logic.ai.processingstatus.ProcessingInfo,Logic,Rule Processing
logic,ai,org.jabref.logic.ai.processingstatus.ProcessingState,Logic,Rule Processing
logic,preferences,org.jabref.logic.preferences.JabRefCliPreferences,Logic,Rule Processing
logic,protectedterms,org.jabref.logic.protectedterms.ProtectedTermsLoader,Logic,Rule Processing
logic,util,org.jabref.logic.util.ProgressCounter,Utility,Performance Tools
model,entry,org.jabref.model.entry.BibEntryTypesManager,Utility,Data Conversion
model,strings,org.jabref.model.strings.StringUtil,Utility,Data Conversion
model,util,org.jabref.model.util.DummyFileUpdateMonitor,Utility,System Tools
model,util,org.jabref.model.util.FileUpdateMonitor,Utility,System Tools
picocli,picocli,picocli.CommandLine,Parser,Syntax Parsing
javafx,scene,javafx.scene.chart.XYChart,User Interface,Interaction Design
util,prefs,java.util.prefs.BackingStoreException,Error Handling,Exception Handling
model,search,org.jabref.model.search.ThrowingErrorListener,Error Handling,Error Logging
search,search,org.jabref.search.SearchLexer,Search,Query Processing
logic,shared,org.jabref.logic.shared.prefs.SharedDatabasePreferences,Databases,Database Security
logic,journals,org.jabref.logic.journals.JournalInformation,Logic,Rule Processing
net,net,java.net.MalformedURLException,Network,Protocol Implementation
util,util,java.util.Optional,Utility,Data Conversion
logic,importer,org.jabref.logic.importer.FetcherException,Error Handling,Exception Handling
logic,importer,org.jabref.logic.importer.ImportException,Error Handling,Exception Handling
logic,importer,org.jabref.logic.importer.ImportFormatReader,Logic,Rule Processing
